name,brewery,type,ABV,IBU,rating,country
Yellow Snow IPA,Rogue Ales & Spirits,IPA - American,6.6,82,3.5,United States
HopDevil,Victory Brewing Company,IPA - American,6.7,50,3.5,United States
Ì gir India Pale Ale,Ì gir Bryggeri,IPA - American,6.5,65,3.5,Norway
Das Sound Wave,Siren Craft Brew,IPA - American,5.6,0,3.5,England
Indian Tribute,OppigÌ´rds Bryggeri,IPA - American,6.6,60,3.5,Sweden
KulturÌül,Schouskjelleren Mikrobryggeri,IPA - American,5,0,3.5,Norway
Killer Cat Circus IPA,Malmesbury Brewery,IPA - American,5.8,0,3.5,England
Winter In Bangalore,Amager Bryghus,IPA - American,6,0,3.5,Denmark
Armageddon IPA,Epic Brewing Company,IPA - American,6.66,66,3.5,New Zealand
Burocracy,BrewFist,IPA - American,6,52,3.5,Italy
Japanese Green Tea IPA (Second Edition),Stone Brewing,IPA - American,10.1,75,3.5,United States
Titan IPA,Great Divide Brewing Company,IPA - American,7.1,65,3.5,United States
Death From Above,Garage Project,IPA - American,7.5,0,3.5,New Zealand
Mooie Nel IPA / Northsea IPA,Jopen,IPA - American,6.5,70,3.5,Netherlands
Vestkyst,Kinn Bryggeri,IPA - American,7,100,3.5,Norway
Hermansen,St. Hallvards Bryggeri AS,IPA - American,7.4,75,3.5,Norway
Wipeout IPA,Port Brewing Company,IPA - American,7.5,78,3.5,United States
Amarillo & Citra IPA,Ugly Duck Brewing Co.,IPA - American,5.9,0,3.5,Denmark
Easy Answers,Burning Sky Brewery,IPA - American,6,0,3.5,England
Delta IPA,Brussels Beer Project,IPA - Belgian,6.5,45,3.5,Belgium
Goose IPA,Goose Island Beer Co.,IPA - English,5.9,55,3.5,United States
Proper Job,St Austell Brewery,IPA - English,4.5,0,3.5,England
400 Pound Monkey,Left Hand Brewing Company,IPA - English,6.8,65,3.5,United States
Big Bad Wolf,Metropolitan Brewing Co (UK),IPA - English,6,45,3.5,England
I Hardcore You,BrewDog,IPA - Imperial / Double,9.5,80,3.5,Scotland
Dangerously Close To Stupid,To Ì÷l,IPA - Imperial / Double,9.3,100,3.5,Denmark
Brave New World,Tempest Brewing Co,IPA - Imperial / Double,7,50,3.5,Scotland
Hop-15 Ale,Port Brewing Company,IPA - Imperial / Double,10,182,3.5,United States
Geriljagress,GrÌ_nerlÌükka Brygghus,IPA - Imperial / Double,8.5,80,3.5,Norway
Don't Mention the Hops,Kinn Bryggeri,IPA - International,5.5,50,3.5,Norway
Semiconductor Session IPA,8 Wired Brewing Co.,IPA - Session / India Session Ale,4.4,0,3.5,New Zealand
Orange Crush,Amager Bryghus,IPA - Session / India Session Ale,5,0,3.5,Denmark
Easy IPA,Flying Dog Brewery,IPA - Session / India Session Ale,4.7,50,3.5,United States
Stone Go To IPA,Stone Brewing,IPA - Session / India Session Ale,4.5,65,3.5,United States
Scorcher IPA,Brooklyn Brewery,IPA - Session / India Session Ale,4.5,0,3.5,United States
Ì_lfrÌ¼n Nr.34,Borg BrugghÌ¼s,IPA - Session / India Session Ale,4.5,55,3.5,Iceland
Ace of Chinook,BrewDog,IPA - Session / India Session Ale,4.5,40,3.5,Scotland
3 Weiss Monkeys,London Fields Brewery,IPA - White,5,0,3.5,England
60å¡ North,Lerwick Brewery,Lager - Euro,4.8,0,3.5,Scotland
SteinhÌ_user German Lager,Dortmunder Actien-Brauerei,Lager - Helles,5,0,3.5,Germany
Caesar Augustus,Williams Brothers Brewing Co.,Lager - IPL (India Pale Lager),4.1,0,3.5,Scotland
London Lager,Meantime Brewing Company,Lager - Pale,4.5,4,3.5,England
Ceilidh,Williams Brothers Brewing Co.,Lager - Pale,4.7,0,3.5,Scotland
Three Hop Lager,Caledonian Brewing Company ,Lager - Pale,4.5,0,3.5,Scotland
Little Norway Pale Lager,Arendals Bryggeri,Lager - Pale,4.7,0,3.5,Norway
Samuel Adams Boston Lager,Boston Beer Company,Lager - Vienna,4.9,30,3.5,United States
Au Yeah!,Tyris,Pale Ale - American,4.5,40,3.5,Spain
Endless Vacation,CAP Brewery,Pale Ale - American,5.3,0,3.5,Sweden
Gamma Ray,Beavertown,Pale Ale - American,5.4,45,3.5,England
Copenhagen Beer Celebration 2014,Mikkeller,Pale Ale - American,4.6,0,3.5,Denmark
Staple,Top Out Brewery,Pale Ale - American,4,0,3.5,Scotland
Barcelona Beer,Barcelona Beer Company,Pale Ale - American,5,45,3.5,Spain
Brew Puppy,Mikkeller,Pale Ale - American,4.7,0,3.5,Denmark
Joca,Schouskjelleren Mikrobryggeri,Pale Ale - American,5.5,0,3.5,Norway
Female of the Species,Schouskjelleren Mikrobryggeri,Pale Ale - American,4.7,0,3.5,Norway
Female Of The Species Single Hop Mosaic,Schouskjelleren Mikrobryggeri,Pale Ale - American,5.2,0,3.5,Norway
Onda Mosaic Pale Ale,Omnipollo,Pale Ale - American,5,0,3.5,Sweden
Oregonian,Voss Bryggeri,Pale Ale - American,6,42,3.5,Norway
Cascadian APA,NÌüisom Craft Beer,Pale Ale - American,4.7,0,3.5,Norway
60 Minutes Of Mikkeller,Mikkeller,Pale Ale - Belgian,6,60,3.5,Denmark
