name,brewery,type,ABV,IBU,rating,country
Trade Winds,Cairngorm Brewery Co.,Pale Wheat Ale - American,4.3,0,3,Scotland
Kingpin,BrewDog,Pilsner - German,4.7,20,3,Scotland
Raid Beer,To Ì÷l,Pilsner - Other,5.2,50,3,Denmark
Premium Pils,Grans Bryggeri,Pilsner - Other,4.7,0,3,Norway
Palma Louca,Heineken Brasil,Pilsner - Other,4.5,0,3,Brazil
Autumn Maple,The Bruery,Pumpkin / Yam Beer,10,15,3,United States
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,3,United States
Fireman's Brew Redhead Ale,Fireman's Brew,Red Ale - American Amber / Red,5.5,0,3,United States
Cwtch,Tiny Rebel Brewing Co,Red Ale - American Amber / Red,4.6,30,3,Wales
Hoppy Joe,Lervig ,Red Ale - American Amber / Red,4.7,0,3,Norway
10 Heads High,BrewDog,Red Ale - Imperial / Double,7.8,80,3,Scotland
Lervig Saison,Lervig ,Saison / Farmhouse Ale,6.6,60,3,Norway
Stag,Cairngorm Brewery Co.,Scottish Ale,4.1,0,3,Scotland
Nessie's Monster Mash,Cairngorm Brewery Co.,Scottish Ale,4.4,0,3,Scotland
Wildcat,Cairngorm Brewery Co.,Scottish Ale,5.1,0,3,Scotland
Black Gold,Cairngorm Brewery Co.,Stout - Foreign / Export,4.4,0,3,Scotland
Dog A,BrewDog,Stout - Imperial / Double,15.1,90,3,Scotland
Cocoa Psycho,BrewDog,Stout - Russian Imperial,10,85,3,Scotland
White Lady,Cairngorm Brewery Co.,Witbier,4.7,0,3,Scotland
Vote Sepp,BrewDog,Witbier,3.4,25,3,Scotland
Outaspace Apple Ale,Drygate Brewing Co.,Golden Ale,4.7,28,2.75,Scotland
Smithwick‰Ûªs Pale Ale,Guinness,Pale Ale - English,4.5,0,2.75,Ireland
Lofotpils (4.7%),Lofotpils,Pilsner - Other,4.7,22,2.75,Norway
Amber Ale,Brouwerij 't IJ,Red Ale - American Amber / Red,5.2,33,2.75,Netherlands
Brekeriet Wild Pale Ale,Brekeriet Beer AB,Sour - Ale,4.8,0,2.75,Sweden
Stochasticity Project: HiFi + LoFi Mixtape,Stone Brewing,Strong Ale - American,8.8,70,2.75,United States
RÌ_bÌ_us,Founders Brewing Co.,Fruit Beer,5.7,15,2.5,United States
Skye Gold,Isle of Skye Brewing Company,Golden Ale,4.3,32,2.5,Scotland
Raven Ale,Orkney Brewery,Golden Ale,3.8,0,2.5,Scotland
Slim Simcoe,NÌüisom Craft Beer,IPA - American,6.6,94,2.5,Norway
Exciter IPA,CAP Brewery,IPA - American,6,0,2.5,Sweden
Lemcyon,NÌüisom Craft Beer,IPA - American,7.2,65,2.5,Norway
IPA Is Dead Mandarina Bavaria,BrewDog,IPA - American,7.2,75,2.5,Scotland
Tramp Stamp,Clown Shoes,IPA - Belgian,7,80,2.5,United States
McEwan's IPA,Charles Wells Brewery,IPA - English,4.3,25,2.5,England
Oslo IPA,Amundsen Bryggeri,IPA - English,6.6,46,2.5,Norway
Limoncello IPA / Lemon Cello IPA,Siren Craft Brew,IPA - Imperial / Double,9.1,0,2.5,England
11|06 Session IPA Simcoe,Brew By Numbers,IPA - Session / India Session Ale,4.6,0,2.5,England
Birdie Num Num,NÌüisom Craft Beer,IPA - Session / India Session Ale,4.7,40,2.5,Norway
FrÌ_h KÌ¦lsch,CÌ¦lner HofbrÌ_u FrÌ_h,KÌ¦lsch,4.8,0,2.5,Germany
Citrus Dream,Mikkeller,Pale Ale - American,5,0,2.5,Denmark
Pors Pale Ale,GrÌ_nerlÌükka Brygghus,Pale Ale - American,5.5,0,2.5,Norway
Humlesus,HaandBryggeriet,Pale Ale - American,4.5,0,2.5,Norway
Skipper's Ticket,Lerwick Brewery,Pale Ale - English,4,0,2.5,Scotland
Premium Pilsener,Bavaria Brouwerij,Pilsner - Other,5,0,2.5,Netherlands
Tou Pilsner,Ringnes Bryggeri,Pilsner - Other,4.5,0,2.5,Norway
Pumpkin King,BrewDog,Pumpkin / Yam Beer,5.4,20,2.5,Scotland
Moloen,BÌ´din,Saison / Farmhouse Ale,5.6,50,2.5,Norway
Santa Paws Scotch Ale,BrewDog,Scottish Ale,4.5,35,2.5,Scotland
Holy Cowbell India Stout,Beavertown,Stout - Other,5.6,60,2.5,England
Rhub'I.P.A.,Page 24 / Brasserie Saint-Germain,IPA - International,6.9,40,2.25,France
Weizener,Hertog Jan,Hefeweizen,5.7,0,2,Netherlands
Hop Series Warrior,Mikkeller,IPA - American,6.8,102,2,Denmark
Modus Hoperandi,Ska Brewing,IPA - American,6.8,70,2,United States
Beer Camp #93 IPA,Sierra Nevada Brewing Co.,IPA - American,6.9,0,2,United States
Princess Of India,Schouskjelleren Mikrobryggeri,IPA - American,6.9,0,2,Norway
APA,Windswept Brewing Co.,IPA - American,5,0,2,Scotland
Koppi Citra X Michiti Coffee IPA,Mikkeller,IPA - American,6.9,0,2,Denmark
PÌ©nombre,Brasserie Dieu du Ciel!,IPA - Black / Cascadian Dark Ale,6.5,0,2,Canada
7 Seas IPA,Siren Craft Brew,IPA - Black / Cascadian Dark Ale,6,0,2,England
Sundland Kreosot,HaandBryggeriet,IPA - Black / Cascadian Dark Ale,6.5,80,2,Norway
Deuchars IPA,Caledonian Brewing Company ,IPA - English,3.8,0,2,Scotland
Marks & Spencer Cornish IPA,St Austell Brewery,IPA - English,5,0,2,England
Sessions: Hop Love Pils,To Ì÷l,Pilsner - Other,4.5,43,2,Denmark
Art Collection IV - Konrad's Stout Cherry Port BA,Lervig ,Stout - Russian Imperial,13,0,2,Norway
It Only Smellz,Schouskjelleren Mikrobryggeri,Pale Ale - International,5.5,0,1.75,Norway
SMaSH Simcoe IPA,Crowbar & Bryggeri,IPA - American,5,49,1.5,Norway
Tennent's Lager,Tennent Caledonian Brewery,Lager - Pale,4,0,1.5,Scotland
Hoppeditz,Freigeist Bierkultur,Altbier,7.5,0,1,Germany
26.2M,Brasserie EchappÌ©e Belle,Blonde Ale - Belgian Blonde / Golden,5.2,0,1,Belgium
